qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
2,7,03,37.975029,35.802494,40.147564,0.0003797503,0.00075921224,99747.047,75.729179,498545.91,7942184.5,79.62326,79.634906
3,7,03,39.991188,37.76292,42.219456,0.00039991189,0.00079950399,99737.813,79.740776,498489.72,7925746,79.465813,79.462709
4,7,03,46.243973,43.594086,48.89386,0.00046243973,0.00092445186,99706.766,92.17411,498303.44,7903380,79.266243,79.290842
5,7,03,48.309559,45.740559,50.878555,0.00048309559,0.00096572458,99700.516,96.283241,498261.88,7842474,78.660316,78.660313
1,12,03,20.666115,18.991724,22.340508,0.00020666115,0.00041323688,99692.859,41.196766,498361.31,7464030.5,74.870262,74.84757
2,12,03,18.801151,17.288717,20.313587,0.00018801152,0.00037595234,99671.32,37.471664,498262.94,7447447,74.720055,74.73491
3,12,03,20.051077,18.454351,21.647802,0.00020051077,0.00040094115,99658.07,39.95702,498190.47,7427256.5,74.527397,74.534866
4,12,03,22.81365,20.887384,24.739918,0.0002281365,0.00045616893,99616.227,45.441826,497967.53,7402684,74.312187,74.357913
5,12,03,24.848822,22.980877,26.716768,0.00024848821,0.00049685297,99604.563,49.488827,497899.09,7341925.5,73.710754,73.732524
1,17,03,22.874365,21.161961,24.586769,0.00022874365,0.00045738267,99651.664,45.578945,498144.38,6965669.5,69.900185,69.890493
2,17,03,21.17079,19.591921,22.749657,0.0002117079,0.00042332616,99634.055,42.1777,498064.84,6948098.5,69.736183,69.765017
3,17,03,22.742935,21.059656,24.426214,0.00022742935,0.00045475527,99618.117,45.301865,497977.31,6929066,69.556282,69.564999
4,17,03,23.796804,21.901911,25.691696,0.00023796804,0.00047582283,99570.914,47.378113,497736.13,6904171.5,69.339409,69.390943
5,17,03,27.550608,25.606661,29.494553,0.00027550609,0.00055086036,99556.602,54.841785,497645.91,6838622,68.691063,68.764028
1,22,03,36.8951,34.865742,38.924458,0.00036895098,0.00073762977,99606.086,73.47242,497846.75,6467525,64.931015,64.914258
2,22,03,36.199512,34.196407,38.202618,0.00036199513,0.00072372827,99591.875,72.077454,497779.19,6450034,64.764664,64.78797
